name, total
numpy, 83385
FWCore, 53791
django, 52260
pybindgen, 19185
mock, 17341
sympy, 11836
nose, 11215
pytz, 8960
matplotlib, 8709
twisted, 8350
flask, 7685
xrange, 7546
unicode, 4881
file, 4714
pandas, 4686
tensorflow, 4564
pytest, 4044
wx, 3973
theano, 3949
openerp, 3925
scipy, 3410
south, 3039
opcua, 3031
google, 2898
alembic, 2480
omero, 2341
pylab, 2274
PyQt5, 2179
core, 2005
lib, 1902
pygments, 1900
nova, 1898
click, 1867
pyasm, 1737
vtk, 1712
PySide, 1640
Xlib, 1562
oslo_config, 1561
networkx, 1536
tornado, 1466
utils, 1465
pyxb, 1430
pygame, 1344
layout_expert, 1331
resources, 1299
whoosh, 1287
raw_input, 1269
sklearn, 1259
swift, 1242
IECore, 1195
long, 1184
rest_framework, 1172
tests, 1164
sickbeard, 1140
hask, 1121
FreeCAD, 1108
util, 1059
mtree, 1018
tempest, 1005
IMP, 982
abjad, 982
fabric, 960
tigershark, 943
cmp, 898
pyrax, 840
trytond, 839
cinder, 826
heat, 806
nailgun, 761
xbmc, 747
simplejson, 735
cv2, 720
dateutil, 719
frappe, 715
keras, 711
yaml, 681
helpers, 676
boto, 674
netforce, 665
novaclient, 661
werkzeug, 659
sublime, 659
webob, 652
moves, 631
zope, 623
oslo_utils, 622
cffi, 611
bpy, 607
tables, 596
dict, 588
oslo_serialization, 585
OpenGL, 580
genshi, 577
ryu, 576
dask, 575
dal, 564
Gaffer, 563
xmodule, 562
reduce, 553
libmich, 550
bson, 545
olympia, 541
pcs, 537
webkitpy, 531
rpython, 531
rospy, 528
cherrypy, 524
sympycore, 522
wtforms, 520
h2o, 517
oslo_log, 515
Components, 513
telemetry, 509
pi, 509
xbmcgui, 504
maya, 470
stone_validators, 466
kivy, 463
unpack, 459
input, 456
openquake, 451
gslib, 449
grr, 445
selenium, 444
DIRAC, 443
calibre, 441
pywikibot, 440
vstruct, 438
rdflib, 436
manilaclient, 435
compass, 432
horizon, 431
pyNastran, 429
docutils, 427
pyquery, 419
ipalib, 419
assertions, 417
reload, 411
gluon, 410
scrapy, 408
Tkinter, 406
tools, 402
neutron, 401
robot, 396
sortinghat, 393
lettuce, 392
unichr, 391
testtools, 387
netaddr, 387
regparser, 382
aioxmpp, 382
nose_parameterized, 380
chromite, 378
ganeti, 377
trac, 376
sickrage, 376
app, 373
models, 370
spacewalk, 369
pyangbind, 369
hamcrest, 369
mojom, 367
keystone, 358
numba, 357
crispy_forms, 356
bottle, 350
dynd, 349
config, 349
thrift, 344
pyftpdlib, 344
samba, 338
airspeed, 335
pretend, 331
qutebrowser, 330
rx, 324
ddt, 324
statsmodels, 322
httpretty, 320
openstack_dashboard, 319
gnuradio, 309
qgis, 308
JumpScale, 306
waflib, 302
slides, 302
mdtraj, 299
xbmcplugin, 297
gevent, 297
fabmetheus_utilities, 295
bigmler, 294
urwid, 293
saml2, 292
gear, 291
eventlet, 291
hscommon, 285
dtest, 285
RPi, 280
py, 280
web, 278
allura, 278
alignak, 277
barf, 276
jcvi, 275
cfgm_common, 274
nmrglue, 271
cola, 271
mne, 270
traitsui, 269
student, 268
arcpy, 268
list, 267
sure, 265
str, 265
blaze, 265
easybuild, 264
Ganga, 261
manila, 258
autotest, 258
sct_utils, 255
testlib, 254
virttest, 253
mod_pywebsocket, 253
ironic, 253
antlr3, 252
pyramid, 250
xbmcaddon, 249
cubit, 248
ansible, 248
Orange, 243
ldb, 243
modules, 242
common, 240
ttk, 238
serial, 236
entropy, 236
lantz, 232
mox3, 228
Crypto, 226
voluptuous, 225
taiga, 224
portage, 224
octoprint, 224
stoqlib, 223
rdkit, 223
psycopg2, 223
misc, 223
trollius, 222
execfile, 221
rope, 220
flexmock, 220
utility, 219
CGAT, 219
hot_redis, 218
httmock, 215
ethereum, 215
qiime, 214
test_helper, 213
pyrsistent, 211
onelogin, 211
comtypes, 210
vilya, 209
dolo, 209
mox, 208
future, 204
pitchpx, 203
cvxopt, 203
courselib, 203
conary, 203
couchpotato, 202
allmydata, 202
test_utils, 200
CGATPipelines, 199
riak, 198
utool, 197
ply, 196
fofix, 194
pymel, 192
starcluster, 191
blessings, 191
adhocracy, 191
yaql, 190
Tools, 190
indico, 190
pypower, 189
landlab, 188
qutip, 187
OWGUI, 187
mysql, 187
pyscf, 186
job, 184
parse_cobertura, 183
openid, 183
sphinx, 181
safe, 181
celery, 181
aiohttp, 181
OpenSSL, 180
unittest2, 179
scitools, 178
psutil, 178
model_mommy, 178
iris, 178
c_generator, 178
ipatests, 177
map, 176
h5py, 175
flexget, 175
claripy, 175
webapp2, 174
proboscis, 174
outwiker, 174
chainer, 173
parsec, 172
reppy, 171
pylons, 171
mutagen, 171
scriptcontext, 169
lasagne, 169
coverage, 169
myhdl, 167
mkt, 167
pecan, 166
nupic, 166
pygaze, 165
coalib, 165
windows, 164
ropetest, 164
environ, 164
Part, 161
lcd_class, 160
desktop, 160
bayeslite, 160
backend, 160
mathutils, 159
gdb, 159
tendenci, 158
pyclibrary, 157
owslib, 157
hypothesis, 157
context, 157
vFense, 156
pants, 156
oslo, 156
libcloud, 156
titus, 155
dogstatsd, 155
Sketcher, 154
dns, 154
calvin, 154
bluesky, 154
shinken, 153
hazelcast, 153
format, 153
btor, 153
pysollib, 152
paramiko, 151
vim, 149
testing, 149
superdesk, 149
libcomxml, 147
Filter, 146
dart, 146
topoflow, 145
rally, 145
PyrexTypes, 145
plantcv, 145
requests_mock, 144
past, 144
enigma, 144
oauth2, 141
nibabel, 141
ruffus, 140
pandasqt, 140
guake, 140
swift3, 139
coherence, 139
webtest, 138
treeio, 138
skbio, 137
opaque_keys, 137
twitter_ads, 136
twitter, 136
template, 136
peval, 136
albow, 135
hyperopt, 134
behave, 134
stalker, 133
pyspark, 133
construct, 133
cms, 133
weboob, 132
processing, 132
corehq, 132
vistrails, 131
pulp, 131
api, 131
supervisor, 130
redis, 130
mopidy, 130
h2o_cmd, 130
tasklogger, 129
sqlparse, 129
shared, 129
nipype, 129
xc, 128
tvb, 128
termcolor, 128
disasm, 128
logger, 127
coredata, 127
rmc, 126
responses, 126
RequestObject, 126
mercurial, 126
debug, 126
zato, 125
googleads, 125
zstacklib, 124
kuma, 124
GafferImage, 124
Rhino, 123
permabots, 123
net, 123
mapnik, 123
envi, 123
brisa, 123
ACEStream, 123
tkinter, 122
oscar, 122
newsmeme, 122
mistral, 122
gyp, 122
framework, 122
tastypie, 121
SimPEG, 121
pymclevel, 121
invoke, 121
IECoreHoudini, 121
pytest_bdd, 120
firewall, 120
anima, 120
troposphere, 119
rtorrent, 119
cassandra, 119
pylearn2, 118
intervals, 118
swift_testing, 117
nest, 117
storage, 116
sfepy, 116
ROOT, 116
pgmpy, 116
kitty, 116
instaseis, 116
privacyidea, 115
preggy, 115
mininet_test, 115
bgl, 115
BeautifulSoup, 115
poker, 114
lollypop, 114
zipline, 113
arrow, 113
progressbar, 112
beets, 112
tweepy, 111
st2common, 111
MaKaC, 111
parsing, 110
mcpi, 110
casexml, 110
airflow, 110
qad_msg, 109
dfvfs, 108
wagtail, 107
Utils, 107
pyqtgraph, 107
petl, 107
barbican, 107
pyqode, 106
neurom, 106
mapproxy, 106
jsb, 106
example, 106
cfme, 106
weechat, 105
path, 105
mockito, 105
mathics, 105
Image, 105
ujson, 104
senlin, 104
fixtures, 104
evennia, 104
bcbio, 104
timestring, 103
thinkplot, 103
accelerator_group, 103
s3fs, 102
kombu, 102
